t,ax,ay,az,gx,gy,gz,mx,my,mz,label
1023373.0,-0.51,0.69,9.62,-0.01,-0.0,0.04,-31.93,36.13,-33.88,R
1023386.0,-0.54,0.64,9.67,-0.0,-0.01,-0.01,-31.03,35.83,-35.53,R
1023399.0,-0.5,0.69,9.63,0.03,-0.02,0.02,-30.43,38.23,-36.13,R
1023412.0,-0.6,0.64,9.6,0.06,-0.02,0.03,-32.98,36.73,-34.48,R
1023425.0,-0.57,0.75,9.74,0.01,-0.02,0.0,-33.58,37.03,-33.88,R
1023438.0,-0.58,0.63,9.68,-0.04,0.04,-0.04,-32.68,36.13,-35.08,R
1023451.0,-0.61,0.57,9.64,-0.03,0.04,0.01,-33.13,36.58,-35.08,R
1023464.0,-0.57,0.55,9.71,0.04,-0.03,-0.02,-32.38,37.03,-35.53,R
1023477.0,-0.52,0.58,9.74,0.05,-0.02,0.0,-31.63,36.43,-34.48,R
1023490.0,-0.5,0.58,9.7,0.05,-0.01,0.01,-31.48,37.03,-34.78,R
1023503.0,-0.49,0.6,9.75,0.06,-0.02,0.03,-31.93,36.13,-34.78,R
1023516.0,-0.47,0.69,9.72,0.02,-0.01,0.04,-33.13,35.83,-35.53,R
1023529.0,-0.48,0.62,9.68,0.03,-0.02,-0.01,-31.63,35.98,-34.48,R
1023541.0,-0.52,0.66,9.7,0.04,-0.0,0.02,-31.48,36.13,-34.78,R
1023555.0,-0.51,0.61,9.73,-0.02,0.02,-0.06,-31.48,36.13,-34.78,R
1023568.0,-0.5,0.57,9.7,-0.01,0.01,-0.02,-31.93,35.08,-35.08,R
1023581.0,-0.48,0.57,9.76,0.03,0.0,-0.02,-31.93,37.78,-35.08,R
1023594.0,-0.5,0.62,9.66,0.01,-0.05,0.04,-31.93,37.78,-35.08,R
1023607.0,-0.54,0.73,9.74,-0.01,0.0,0.05,-33.73,35.68,-34.93,R
1023620.0,-0.51,0.66,9.74,0.01,-0.04,-0.0,-31.93,37.03,-35.53,R
1023633.0,-0.51,0.54,9.75,0.03,0.01,-0.0,-32.08,35.98,-34.48,R
1023646.0,-0.52,0.69,9.66,0.0,0.04,-0.01,-32.08,35.98,-34.48,R
1023659.0,-0.47,0.65,9.69,0.05,-0.01,0.01,-32.68,36.13,-35.08,R
1023672.0,-0.56,0.72,9.61,0.0,0.04,0.0,-33.73,35.98,-34.93,R
1023685.0,-0.54,0.73,9.64,0.02,0.02,0.04,-33.73,35.98,-34.93,R
1023698.0,-0.49,0.56,9.65,0.01,0.03,-0.02,-32.08,35.98,-35.68,R
1023711.0,-0.59,0.66,9.64,0.04,-0.01,0.0,-31.63,35.98,-36.13,R
1023724.0,-0.54,0.65,9.65,0.07,-0.02,0.01,-32.38,35.83,-35.83,R
1023737.0,-0.52,0.66,9.62,0.04,-0.01,0.07,-32.38,35.83,-35.83,R
1023750.0,-0.46,0.75,9.68,0.04,0.0,-0.03,-31.48,36.13,-35.83,R
1023763.0,-0.52,0.75,9.64,-0.04,0.05,0.0,-30.88,35.68,-34.93,R
1023776.0,-0.58,0.73,9.68,0.0,0.01,-0.03,-30.88,35.68,-34.93,R
1023789.0,-0.66,0.73,9.74,0.0,0.01,-0.06,-31.03,37.03,-34.78,R
1023802.0,-0.64,0.65,9.72,0.05,-0.01,0.03,-31.63,35.98,-35.23,R
1023815.0,-0.6,0.72,9.77,0.08,0.0,0.04,-32.38,36.13,-35.08,R
1023828.0,-0.58,0.61,9.73,0.01,-0.01,-0.04,-31.03,35.83,-35.08,R
1023841.0,-0.54,0.6,9.66,0.05,-0.04,0.08,-31.48,35.38,-35.53,R
1023854.0,-0.57,0.59,9.63,0.05,-0.02,0.05,-32.38,37.33,-35.83,R
1023867.0,-0.47,0.57,9.75,0.04,0.01,0.02,-32.53,36.43,-34.93,R
1023880.0,-0.45,0.57,9.69,0.0,0.0,0.01,-32.08,36.73,-34.48,R
1023893.0,-0.48,0.66,9.65,0.02,0.02,-0.0,-31.33,36.73,-34.93,R
1023906.0,-0.47,0.61,9.71,-0.01,0.03,0.01,-31.63,37.48,-32.98,R
1023919.0,-0.45,0.72,9.64,-0.0,-0.0,0.03,-30.88,34.48,-35.23,R
1023932.0,-0.45,0.77,9.63,0.0,0.0,0.01,-32.53,35.68,-36.13,R
1023945.0,-0.46,0.8,9.64,0.02,-0.01,0.04,-32.53,36.73,-35.23,R
1023958.0,-0.46,0.72,9.59,0.04,0.0,0.02,-30.88,36.73,-34.18,R
1023971.0,-0.5,0.74,9.63,-0.03,0.02,0.01,-31.93,35.38,-35.53,R
1023984.0,-0.52,0.7,9.59,-0.0,0.01,0.0,-32.08,36.43,-35.23,R
1023997.0,-0.61,0.79,9.58,0.03,0.01,0.01,-30.28,36.13,-33.88,R
1024010.0,-0.5,0.77,9.53,-0.05,0.06,-0.04,-30.43,36.43,-35.23,R
1024023.0,-0.54,0.68,9.62,-0.03,-0.03,-0.02,-32.68,35.38,-34.78,R
1024036.0,-0.58,0.63,9.67,-0.03,0.01,-0.04,-32.68,35.38,-34.78,R
1024049.0,-0.54,0.71,9.65,0.01,-0.05,0.03,-31.33,36.43,-34.48,R
1024062.0,-0.51,0.69,9.77,0.04,-0.05,0.07,-32.38,36.13,-35.08,R
1024075.0,-0.49,0.68,9.77,0.03,-0.09,0.01,-32.38,36.13,-35.08,R
1024088.0,-0.44,0.74,9.77,-0.04,0.01,-0.03,-31.48,35.38,-35.08,R
1024101.0,-0.54,0.7,9.81,-0.03,0.05,0.0,-31.63,35.98,-35.23,R
1024114.0,-0.52,0.68,9.77,-0.01,-0.01,-0.02,-31.63,36.43,-34.18,R
1024126.0,-0.52,0.55,9.78,-0.02,0.0,-0.02,-31.63,36.43,-34.18,R
1024140.0,-0.46,0.58,9.78,0.02,-0.02,0.01,-31.03,37.78,-35.08,R
1024153.0,-0.47,0.63,9.71,-0.03,0.03,-0.02,-33.13,37.03,-34.78,R
1024166.0,-0.49,0.68,9.64,0.0,0.03,0.02,-33.13,37.03,-34.78,R
1024179.0,-0.57,0.63,9.66,0.0,-0.01,0.04,-30.73,35.38,-35.08,R
1024192.0,-0.58,0.75,9.68,0.03,-0.0,0.01,-31.93,36.13,-35.83,R
1024205.0,-0.51,0.78,9.66,0.0,-0.03,0.03,-31.93,36.13,-35.83,R
1024218.0,-0.47,0.75,9.65,-0.01,0.0,0.03,-30.43,36.43,-34.18,R
1024231.0,-0.53,0.68,9.63,0.0,0.0,-0.0,-32.53,34.93,-34.18,R
1024244.0,-0.48,0.79,9.65,-0.0,0.03,-0.02,-32.53,35.23,-34.48,R
1024257.0,-0.5,0.71,9.64,-0.0,-0.03,0.0,-32.53,35.23,-34.48,R
1024270.0,-0.46,0.67,9.63,0.02,-0.03,0.02,-32.38,35.83,-34.33,R
1024283.0,-0.49,0.69,9.65,0.02,-0.04,0.01,-32.68,35.38,-34.33,R
1024296.0,-0.54,0.62,9.71,0.03,-0.0,0.03,-32.68,35.38,-34.33,R
1024309.0,-0.46,0.63,9.7,-0.03,0.01,0.01,-31.03,37.03,-34.78,R
1024322.0,-0.51,0.69,9.69,0.01,-0.02,0.01,-33.73,35.98,-35.23,R
1024334.0,-0.5,0.77,9.66,0.01,-0.02,0.06,-31.93,36.13,-34.33,R
1024348.0,-0.45,0.71,9.69,0.02,0.04,0.01,-31.33,35.98,-34.18,R
1024361.0,-0.47,0.68,9.64,0.01,0.01,0.0,-31.33,35.68,-36.13,R
1024374.0,-0.57,0.64,9.65,-0.02,0.03,-0.04,-32.38,35.38,-35.53,R
1024387.0,-0.57,0.72,9.68,0.01,-0.05,0.0,-31.93,36.58,-35.08,R
1024400.0,-0.57,0.75,9.71,0.02,-0.01,0.04,-32.53,36.43,-34.48,R
1024413.0,-0.56,0.63,9.73,-0.0,-0.02,0.02,-29.98,34.03,-34.48,R
1024426.0,-0.52,0.61,9.68,-0.03,0.0,-0.02,-33.13,36.58,-34.33,R
1024439.0,-0.49,0.62,9.75,-0.03,-0.01,-0.02,-31.48,37.33,-35.53,R
1024452.0,-0.51,0.6,9.74,-0.0,-0.01,-0.03,-31.33,35.98,-35.68,R
1024465.0,-0.42,0.62,9.78,0.05,-0.02,0.01,-32.68,35.83,-35.08,R
1024478.0,-0.44,0.72,9.72,-0.03,0.03,0.03,-31.03,36.58,-35.83,R
1024491.0,-0.49,0.68,9.74,-0.01,0.02,-0.03,-31.63,35.68,-34.18,R
1024504.0,-0.44,0.71,9.66,0.01,-0.03,0.07,-31.48,35.83,-34.33,R
1024517.0,-0.5,0.73,9.62,0.03,-0.02,0.02,-32.53,35.68,-35.68,R
1024530.0,-0.52,0.73,9.62,0.01,-0.02,0.01,-31.93,36.13,-34.78,R
1024542.0,-0.53,0.67,9.68,0.02,0.01,0.06,-31.93,36.58,-34.78,R
