t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
992927.0,0.1,-2.46,10.6,0.54,0.17,1.49,-35.83,29.53,-35.23,L,1.32769690470558,-0.6860967204411634,0.6860967204411634,1.32769690470558
992940.0,0.01,-1.86,10.06,0.35,0.32,1.76,-35.38,30.28,-33.43,L,1.6274289611062533,-0.9663992885447561,0.9663992885447561,1.6274289611062533
992953.0,0.05,-1.44,9.67,0.05,0.31,1.87,-33.88,28.93,-34.33,L,1.7997698468292627,-1.0792057556817944,1.0792057556817944,1.7997698468292627
992966.0,-0.02,-1.19,9.18,-0.2,0.37,2.08,-33.88,29.68,-34.33,L,2.0567196029426733,-1.3205394914982622,1.3205394914982622,2.0567196029426733
992979.0,-0.02,-1.04,8.92,-0.35,0.31,2.25,-33.88,29.68,-34.33,L,2.256865189476055,-1.4693588992750992,1.4693588992750992,2.256865189476055
992992.0,0.02,-0.79,8.57,-0.44,0.28,2.4,-34.18,30.28,-35.23,L,2.4236100483018634,-1.6620834505126945,1.6620834505126945,2.4236100483018634
993005.0,0.31,-0.59,8.84,-0.41,0.23,2.56,-36.13,33.28,-34.93,L,2.5748796304690704,-1.8273682745585333,1.8273682745585333,2.5748796304690704
993018.0,0.57,-0.45,8.63,-0.49,0.15,2.68,-36.13,33.28,-34.93,L,2.7117689971390293,-1.9813695183927922,1.9813695183927922,2.7117689971390293
993031.0,0.87,0.72,8.38,-0.5,0.1,2.76,-33.58,32.83,-35.53,L,2.793582461457342,-2.1768961031166105,2.1768961031166105,2.793582461457342
993044.0,0.91,2.27,8.38,-0.67,0.09,2.77,-34.63,34.03,-34.48,L,2.8403028932325927,-2.2983314880314816,2.2983314880314816,2.8403028932325927
993057.0,1.17,3.82,9.15,-0.73,0.08,2.74,-33.73,37.48,-33.43,L,2.824272822401378,-2.373454004596747,2.373454004596747,2.824272822401378
993070.0,1.39,5.12,9.91,-0.71,0.09,2.55,-33.73,37.48,-33.43,L,2.6342095610116636,-2.514022723042636,2.514022723042636,2.6342095610116636
993083.0,1.54,5.98,10.19,-0.71,0.13,2.29,-34.33,37.03,-35.53,L,2.3791911475089034,-2.4823979268179923,2.4823979268179923,2.3791911475089034
993096.0,1.77,6.9,10.2,-0.72,0.19,1.95,-34.33,40.02,-33.88,L,2.047618104978557,-2.4430985303385278,2.4430985303385278,2.047618104978557
993109.0,1.92,7.16,10.45,-0.67,0.3,1.54,-34.33,40.02,-33.88,L,1.6332135362018487,-2.3660938883837757,2.3660938883837757,1.6332135362018487
993122.0,1.84,6.98,10.5,-0.6,0.32,1.16,-34.78,39.57,-35.08,L,1.2466202956496473,-2.352780811730233,2.352780811730233,1.2466202956496473
993135.0,1.99,6.51,10.86,-0.32,0.39,0.57,-31.48,42.27,-33.88,L,0.6082247256151806,-2.290478909389823,2.290478909389823,0.6082247256151806
993148.0,1.46,6.3,10.85,-0.14,0.4,0.15,-33.28,42.12,-34.93,L,0.15919687915947295,-2.195850045599679,2.195850045599679,0.15919687915947295
993161.0,1.5,5.58,10.58,-0.03,0.35,-0.11,-32.68,40.77,-35.08,L,-0.11668976251682338,-2.064907011956157,2.064907011956157,0.11668976251682338
993174.0,1.33,4.9,10.0,0.05,0.45,-0.48,-31.03,41.22,-34.33,L,-0.49820594825704995,-1.8961326566883856,1.8961326566883856,0.49820594825704995
993187.0,0.93,4.52,9.64,0.22,0.36,-0.64,-31.63,40.62,-34.93,L,-0.6881644284013165,-1.6578318117525501,1.6578318117525501,0.6881644284013165
993200.0,0.62,4.13,9.31,0.4,0.35,-0.91,-32.08,41.37,-34.18,L,-0.990163466052496,-1.4178107396635762,1.4178107396635762,0.990163466052496
993213.0,0.33,4.1,9.08,0.59,0.19,-0.96,-32.38,41.52,-33.58,L,-1.0748640031655825,-1.010483387162046,1.010483387162046,1.0748640031655825
993226.0,0.23,4.22,9.21,0.71,0.14,-1.14,-32.53,40.17,-35.68,L,-1.2748278092202117,-0.5847248663545872,0.5847248663545872,1.2748278092202117
993239.0,0.12,4.02,8.85,0.77,0.0,-1.34,-33.58,39.57,-34.33,L,-1.4785347114558074,0.05752520852042773,0.05752520852042773,1.4785347114558074
993251.0,0.2,4.38,8.6,0.85,-0.07,-1.57,-31.03,39.28,-35.53,L,-1.7180434388736896,0.5076758981496314,0.5076758981496314,1.7180434388736896
993265.0,0.1,4.55,8.71,0.83,-0.2,-1.69,-32.98,38.23,-36.13,L,-1.8267432488722564,1.1480305928068903,1.1480305928068903,1.8267432488722564
993278.0,0.21,4.46,8.62,0.79,-0.28,-1.84,-32.53,38.23,-34.93,L,-1.961990800283493,1.701985818101439,1.701985818101439,1.961990800283493
993291.0,0.13,4.32,8.82,0.73,-0.3,-1.97,-32.08,36.43,-33.43,L,-2.075302984677488,2.1622825772793464,2.1622825772793464,2.075302984677488
993304.0,0.37,3.63,8.95,0.63,-0.24,-2.14,-33.28,35.98,-36.43,L,-2.2215592564377564,2.602301864849226,2.602301864849226,2.2215592564377564
993317.0,0.32,3.29,8.82,0.62,-0.26,-2.28,-33.58,36.13,-35.08,L,-2.3554091048129484,2.8861430410904076,2.8861430410904076,2.3554091048129484
993330.0,0.19,3.13,8.97,0.62,-0.28,-2.31,-32.98,34.03,-34.48,L,-2.3840567144867517,3.0990893596062405,3.0990893596062405,2.3840567144867517
993343.0,0.21,2.32,9.11,0.49,-0.26,-2.35,-34.18,32.23,-33.73,L,-2.3957052683169473,3.2674774463518816,3.2674774463518816,2.3957052683169473
993356.0,0.2,1.54,9.24,0.43,-0.3,-2.26,-34.78,33.88,-35.08,L,-2.2936700367203966,3.2246474818100737,3.2246474818100737,2.2936700367203966
993369.0,0.16,1.3,8.86,0.41,-0.26,-2.27,-33.88,33.13,-33.58,L,-2.3003822793769593,3.119873961132336,3.119873961132336,2.3003822793769593
993382.0,-0.04,1.38,8.62,0.24,-0.21,-2.3,-31.93,30.88,-35.08,L,-2.2945964319257603,2.8655297905370163,2.8655297905370163,2.2945964319257603
993395.0,-0.02,0.61,9.08,0.12,-0.27,-2.13,-33.28,30.28,-35.23,L,-2.100917563165152,2.4165656884863447,2.4165656884863447,2.100917563165152
993408.0,0.14,-0.56,9.63,-0.05,-0.3,-1.98,-34.33,30.43,-35.53,L,-1.9169281236119475,2.013619852985834,2.013619852985834,1.9169281236119475
993421.0,0.3,-1.68,10.07,-0.05,-0.33,-1.86,-33.73,28.33,-33.73,L,-1.798862821184182,1.6251935639598023,1.6251935639598023,1.798862821184182
993434.0,0.39,-1.92,9.89,0.05,-0.31,-1.61,-32.68,29.68,-35.08,L,-1.577055314834997,1.2675704571984985,1.2675704571984985,1.577055314834997
993447.0,0.39,-1.48,9.85,0.11,-0.3,-1.52,-34.78,27.43,-33.88,L,-1.502466437844338,0.9917051104257164,0.9917051104257164,1.502466437844338
993459.0,0.29,-1.5,9.93,0.05,-0.24,-1.32,-34.78,27.43,-33.88,L,-1.2962323619850675,0.7422614289166425,0.7422614289166425,1.2962323619850675
993473.0,0.24,-1.53,9.9,-0.04,-0.25,-1.03,-33.73,27.58,-34.18,L,-0.9934820821931423,0.5254606055602614,0.5254606055602614,0.9934820821931423
993486.0,0.19,-1.59,9.95,-0.14,-0.24,-0.83,-34.63,28.03,-34.48,L,-0.7770462324553769,0.3335576682825825,0.3335576682825825,0.7770462324553769
993499.0,0.08,-1.51,10.05,-0.16,-0.21,-0.65,-34.63,28.03,-34.48,L,-0.5980063589040745,0.33729272438830377,0.33729272438830377,0.5980063589040745
993512.0,-0.21,-1.39,10.04,-0.17,-0.17,-0.54,-33.73,26.53,-33.43,L,-0.48975656183267374,0.27601692405118744,0.27601692405118744,0.48975656183267374
993525.0,-0.25,-1.07,10.04,-0.1,-0.13,-0.34,-34.18,25.63,-34.18,L,-0.31091313624950373,0.21586396688756707,0.21586396688756707,0.31091313624950373
993538.0,-0.27,-0.9,9.93,-0.01,-0.12,-0.23,-35.23,26.98,-34.78,L,-0.2232713749784704,0.23114279557803663,0.23114279557803663,0.2232713749784704
993551.0,-0.37,-0.56,9.88,-0.03,-0.08,-0.13,-35.23,26.98,-34.78,L,-0.12262580634271908,0.2005998056864773,0.2005998056864773,0.12262580634271908
993564.0,-0.39,-0.11,9.8,0.0,-0.06,-0.02,-35.38,27.28,-36.13,L,-0.022366506229097815,0.22220460851137908,0.22220460851137908,0.022366506229097815
993577.0,-0.5,0.45,9.71,0.01,-0.03,0.02,-33.73,27.28,-34.18,L,0.013569435177395433,0.14247634496481987,0.14247634496481987,0.013569435177395433
993590.0,-0.62,0.87,9.77,0.02,-0.05,0.12,-33.73,27.28,-34.18,L,0.10964366625812923,0.15388600132536132,0.15388600132536132,0.10964366625812923
993603.0,-0.73,1.15,9.81,0.01,-0.0,0.22,-33.28,26.83,-33.43,L,0.20781776559999665,0.05286883165685971,0.05286883165685971,0.20781776559999665
993616.0,-0.73,1.3,9.74,-0.06,0.0,0.19,-35.23,25.93,-33.13,L,0.1936273706567466,0.11668647310703065,0.11668647310703065,0.1936273706567466
993629.0,-0.72,1.57,9.75,-0.06,0.06,0.19,-35.23,26.23,-33.88,L,0.19173199043899047,0.00869686840879834,0.00869686840879834,0.19173199043899047
993642.0,-0.67,1.63,9.76,-0.09,0.07,0.16,-34.18,26.53,-34.18,L,0.16860340842908286,0.07244413803979857,0.07244413803979857,0.16860340842908286
993655.0,-0.52,1.85,9.78,-0.02,0.06,0.21,-35.98,27.43,-33.58,L,0.2026293021284402,0.09678060253175266,0.09678060253175266,0.2026293021284402
993667.0,-0.61,1.89,9.79,-0.05,0.08,0.17,-34.18,26.53,-33.43,L,0.16942502238899929,0.021433855986213272,0.021433855986213272,0.16942502238899929
993681.0,-0.51,1.9,9.78,-0.02,0.03,0.21,-33.58,26.23,-33.88,L,0.20357699223731826,0.05376081743594684,0.05376081743594684,0.20357699223731826
993694.0,-0.47,1.91,9.81,-0.02,0.06,0.14,-33.13,25.48,-35.53,L,0.13431069494242248,0.013513730847604502,0.013513730847604502,0.13431069494242248
993707.0,-0.44,1.96,9.71,-0.05,0.02,0.17,-34.18,26.53,-33.73,N,0.17132040260675543,0.029543801678819752,0.029543801678819752,0.17132040260675543
993720.0,-0.46,1.96,9.72,-0.03,0.02,0.14,-34.63,27.58,-34.93,N,0.13772985434518442,0.03480263696954691,0.03480263696954691,0.13772985434518442
993733.0,-0.42,1.85,9.69,-0.04,0.03,0.2,-34.18,26.53,-34.93,N,0.19812833639259342,-0.03560117098822468,0.03560117098822468,0.19812833639259342
993746.0,-0.42,1.85,9.75,0.02,0.01,0.2,-34.93,26.83,-34.18,N,0.18582669425296483,-0.058800124817303,0.058800124817303,0.18582669425296483
993759.0,-0.39,1.83,9.74,-0.02,0.08,0.14,-32.68,26.68,-34.33,N,0.13367890153650375,-0.024633487479604227,0.024633487479604227,0.13367890153650375
993772.0,-0.37,1.91,9.65,0.02,0.05,0.14,-34.93,26.83,-33.73,N,0.12600430128168363,0.001724433379067632,0.001724433379067632,0.12600430128168363
993785.0,-0.46,2.05,9.69,0.04,0.02,0.1,-34.63,28.03,-34.18,N,0.08360164210241673,0.002230150636024698,0.002230150636024698,0.08360164210241673
993798.0,-0.46,2.1,9.62,0.03,0.03,0.12,-33.88,25.48,-35.83,N,0.10496092004352985,0.0024756755198133413,0.0024756755198133413,0.10496092004352985
993811.0,-0.52,2.05,9.64,0.03,0.01,0.16,-35.53,26.98,-34.78,N,0.14463191755574442,-0.04783244130868254,0.04783244130868254,0.14463191755574442
993824.0,-0.47,2.02,9.53,0.02,0.02,0.1,-32.53,26.08,-33.43,N,0.08791278728426583,-0.012030616126396072,0.012030616126396072,0.08791278728426583
993837.0,-0.56,1.91,9.69,-0.05,0.05,0.01,-34.18,26.83,-33.43,N,0.01421589607269392,0.01877256613833166,0.01877256613833166,0.01421589607269392
993850.0,-0.58,1.83,9.58,-0.0,0.05,-0.0,-34.18,26.83,-33.43,N,-0.0063217679085027815,0.008752572738589273,0.008752572738589273,0.0063217679085027815
993863.0,-0.6,1.79,9.59,-0.02,0.03,0.01,-34.33,26.23,-35.83,N,0.008380971705838987,0.0002006541940617929,0.0002006541940617929,0.008380971705838987
993875.0,-0.66,1.78,9.6,0.04,0.04,0.04,-34.63,26.83,-34.93,N,0.024411042537054242,-0.029078748885660102,0.029078748885660102,0.024411042537054242
993889.0,-0.57,1.7,9.55,-0.01,0.05,0.02,-34.63,26.83,-34.48,N,0.015353406735569695,-0.013048678054444847,0.013048678054444847,0.015353406735569695
993902.0,-0.58,1.73,9.5,0.01,0.03,0.03,-34.63,28.03,-34.48,N,0.021433855986213272,0.019333987725079656,0.019333987725079656,0.021433855986213272
993915.0,-0.64,1.69,9.49,-0.0,0.02,-0.01,-34.63,26.53,-34.48,N,-0.015133878826198682,0.09659078197775495,0.09659078197775495,0.015133878826198682
