t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
914641.0,0.86,1.96,9.54,0.0,0.01,-0.02,-40.47,24.73,-33.13,N,0.014307568133218687,0.21036903104811394,0.21036903104811394,0.014307568133218687
914654.0,0.83,1.86,9.55,-0.03,0.04,-0.04,-39.13,24.88,-32.53,N,0.05190803217557009,0.25511094102648363,0.25511094102648363,0.05190803217557009
914666.0,0.8,1.8,9.49,-0.03,0.05,-0.05,-39.13,24.88,-32.53,N,0.06308985086073106,0.3044190319224223,0.3044190319224223,0.06308985086073106
914680.0,0.83,1.68,9.56,0.04,0.0,0.05,-39.72,25.18,-31.63,N,-0.0129995035156399,0.35392306711770777,0.35392306711770777,0.0129995035156399
914693.0,0.69,1.7,9.54,0.01,0.01,0.03,-39.13,24.88,-32.98,N,0.005160571060354931,0.4373825659836062,0.4373825659836062,0.005160571060354931
914706.0,0.74,1.69,9.5,0.04,0.02,-0.01,-39.13,24.88,-32.98,N,0.015210629662612706,0.573417902756214,0.573417902756214,0.015210629662612706
914719.0,0.81,1.74,9.52,0.0,0.04,0.0,-39.13,24.88,-30.58,N,0.040544904428788206,0.586634543053672,0.586634543053672,0.040544904428788206
914732.0,0.85,1.74,9.57,0.0,0.04,0.0,-38.23,26.08,-31.78,N,0.040544904428788206,0.7227172693181682,0.7227172693181682,0.040544904428788206
914745.0,0.83,1.72,9.49,-0.04,0.04,-0.01,-37.78,24.58,-31.48,N,0.049362037632572485,0.8450721823545055,0.8450721823545055,0.049362037632572485
914758.0,0.78,1.79,9.46,0.03,0.04,-0.02,-37.78,24.58,-31.48,N,0.03795152039390236,0.9543590099008434,0.9543590099008434,0.03795152039390236
914771.0,0.75,1.77,9.47,-0.02,0.07,-0.0,-37.78,26.08,-31.48,N,0.07338324325422388,1.0467514425238225,1.0467514425238225,0.07338324325422388
914784.0,0.68,1.77,9.43,-0.01,0.02,-0.0,-36.58,25.63,-32.23,N,0.022943392275382033,1.0775695949746866,1.0775695949746866,0.022943392275382033
914797.0,0.68,1.83,9.39,0.0,0.02,-0.01,-36.58,25.63,-32.23,N,0.022566138914414304,1.1723594673332045,1.1723594673332045,0.022566138914414304
914810.0,0.7,1.79,9.42,0.02,0.02,0.06,-38.53,25.93,-33.13,N,0.008657016624634804,1.304286020295262,1.304286020295262,0.008657016624634804
914823.0,0.65,1.78,9.32,0.02,-0.02,-0.0,-37.48,25.63,-31.48,N,-0.021454018596182317,1.465129823665619,1.465129823665619,0.021454018596182317
914836.0,0.6,1.76,9.3,-0.01,0.06,-0.03,-37.48,25.63,-31.48,N,0.0662090430640432,1.573560979174451,1.573560979174451,0.0662090430640432
914849.0,0.68,1.84,9.32,0.01,0.05,-0.07,-38.83,24.73,-31.18,N,0.058657589512894806,1.6430639662586817,1.6430639662586817,0.058657589512894806
914862.0,0.67,1.75,9.33,-0.04,0.02,-0.0,-37.63,25.18,-31.18,N,0.028460024214233232,1.6591711002059428,1.6591711002059428,0.028460024214233232
914875.0,0.65,1.75,9.39,-0.01,-0.03,0.01,-38.08,24.73,-32.83,N,-0.027119205342492077,1.7227328124984662,1.7227328124984662,0.027119205342492077
914888.0,0.75,1.72,9.43,0.03,-0.02,0.08,-38.23,26.08,-30.58,N,-0.03498588752499409,1.8148427707442538,1.8148427707442538,0.03498588752499409
914901.0,0.74,1.78,9.5,0.01,-0.02,-0.01,-38.23,25.63,-31.03,N,-0.018153517331249248,1.8581084215329151,1.8581084215329151,0.018153517331249248
914914.0,0.8,1.84,9.45,0.01,-0.04,0.04,-38.83,24.43,-32.83,N,-0.044902026557519174,1.8706506988544884,1.8706506988544884,0.044902026557519174
914927.0,0.76,1.88,9.52,-0.03,0.02,-0.02,-38.83,24.43,-32.83,N,0.029544394805248172,1.9180515013760686,1.9180515013760686,0.029544394805248172
914940.0,0.73,1.9,9.52,-0.01,-0.05,-0.02,-37.48,26.08,-31.48,N,-0.042174722952900645,1.9812149387381048,1.9812149387381048,0.042174722952900645
914953.0,0.75,1.87,9.5,0.03,-0.07,0.03,-38.68,24.58,-31.03,N,-0.07627874143097219,2.051276488244924,2.051276488244924,0.07627874143097219
914966.0,0.76,1.88,9.58,-0.03,0.02,-0.07,-38.08,24.43,-31.93,N,0.03685251456516153,2.0270265840697634,2.0270265840697634,0.03685251456516153
914979.0,0.8,1.79,9.58,-0.0,0.02,0.01,-39.42,24.58,-32.23,N,0.01964289101044896,2.0035311866165384,2.0035311866165384,0.01964289101044896
914992.0,0.78,1.82,9.53,-0.04,-0.0,-0.01,-38.83,25.18,-31.63,N,0.010481258699859325,1.9381843728347465,1.9381843728347465,0.010481258699859325
915005.0,0.77,1.81,9.57,0.01,-0.04,0.03,-38.83,25.93,-31.93,N,-0.043440402605536506,1.8921440289495786,1.8921440289495786,0.043440402605536506
915018.0,0.79,1.83,9.53,0.03,-0.04,0.05,-39.28,24.43,-32.83,N,-0.05004140513540265,1.8547248739688482,1.8547248739688482,0.05004140513540265
915031.0,0.73,1.92,9.55,0.01,-0.04,0.05,-38.53,26.23,-31.93,N,-0.04636365050950185,1.883918212422545,1.883918212422545,0.04636365050950185
